LOGIN_ID,NAME,ANSWER,DESTINATION
1001voyages@videotron.ca,What markets do you focus on,occasion,Africa and Middle East
1001voyages@videotron.ca,What markets do you focus on,often,Caribbean and Mexico
1001voyages@videotron.ca,What markets do you focus on,occasion,Asia
1001voyages@videotron.ca,What markets do you focus on,often,South America
1001voyages@videotron.ca,What markets do you focus on,occasion,Oceania
1001voyages@videotron.ca,What markets do you focus on,often,Europe
1001voyages@videotron.ca,What markets do you focus on,occasion,North America
1001voyages@videotron.ca,Your bookings derive from,often,Ground transportation
1001voyages@videotron.ca,Your bookings derive from,often,Cruises
1001voyages@videotron.ca,Your bookings derive from,often,Hotels
1001voyages@videotron.ca,Your bookings derive from,often,Air Travel
1001voyages@videotron.ca,Your bookings derive from,often,Vacation Packages
1001voyages@videotron.ca,Your group bookings represent,Only a small number of your bookings,Only a small number of your bookings
77777779@yopmail.com,What markets do you focus on,never,Asia
77777779@yopmail.com,What markets do you focus on,occasion,South America
77777779@yopmail.com,What markets do you focus on,often,Oceania
77777779@yopmail.com,What markets do you focus on,occasion,Europe
77777779@yopmail.com,What markets do you focus on,often,North America
77777779@yopmail.com,What markets do you focus on,occasion,Africa and Middle East
77777779@yopmail.com,What markets do you focus on,never,Caribbean and Mexico
77777779@yopmail.com,Your bookings derive from,occasion,Vacation Packages
77777779@yopmail.com,Your bookings derive from,often,Ground transportation
77777779@yopmail.com,Your bookings derive from,occasion,Cruises
77777779@yopmail.com,Your bookings derive from,often,Hotels
77777779@yopmail.com,Your bookings derive from,never,Air Travel
aashish20316@gmail.com,What markets do you focus on,occasion,Africa and Middle East
aashish20316@gmail.com,What markets do you focus on,often,Caribbean and Mexico
aashish20316@gmail.com,What markets do you focus on,occasion,Asia
aashish20316@gmail.com,What markets do you focus on,often,South America
aashish20316@gmail.com,What markets do you focus on,occasion,Oceania
aashish20316@gmail.com,What markets do you focus on,occasion,Europe
aashish20316@gmail.com,What markets do you focus on,often,North America
aashish20316@gmail.com,Your bookings derive from,often,Hotels
aashish20316@gmail.com,Your bookings derive from,often,Air Travel
aashish20316@gmail.com,Your bookings derive from,occasion,Vacation Packages
aashish20316@gmail.com,Your bookings derive from,occasion,Ground transportation
aashish20316@gmail.com,Your bookings derive from,occasion,Cruises
ACCOUNT@JENSENTRAVEL.CA,What markets do you focus on,often,Africa and Middle East
ACCOUNT@JENSENTRAVEL.CA,What markets do you focus on,often,Caribbean and Mexico
ACCOUNT@JENSENTRAVEL.CA,What markets do you focus on,often,Asia
ACCOUNT@JENSENTRAVEL.CA,What markets do you focus on,often,South America
ACCOUNT@JENSENTRAVEL.CA,What markets do you focus on,often,Oceania
ACCOUNT@JENSENTRAVEL.CA,What markets do you focus on,often,Europe
ACCOUNT@JENSENTRAVEL.CA,What markets do you focus on,often,North America
ACCOUNT@JENSENTRAVEL.CA,Your bookings derive from,often,Ground transportation
ACCOUNT@JENSENTRAVEL.CA,Your bookings derive from,often,Cruises
ACCOUNT@JENSENTRAVEL.CA,Your bookings derive from,often,Hotels
ACCOUNT@JENSENTRAVEL.CA,Your bookings derive from,often,Air Travel
